movie_id,budget,prod_company
19995,237000000,Ingenious Film Partners
285,300000000,Walt Disney Pictures
206647,245000000,Columbia Pictures
49026,250000000,Legendary Pictures
49529,260000000,Walt Disney Pictures
559,258000000,Columbia Pictures
38757,260000000,Walt Disney Pictures
99861,280000000,Marvel Studios
767,250000000,Warner Bros.
209112,250000000,DC Comics
1452,270000000,DC Comics
10764,200000000,Eon Productions
58,200000000,Walt Disney Pictures
57201,255000000,Walt Disney Pictures
49521,225000000,Legendary Pictures
2454,225000000,Walt Disney
24428,220000000,Paramount Pictures
1865,380000000,Walt Disney Pictures
41154,225000000,Amblin Entertainment
122917,250000000,WingNut Films
1930,215000000,Columbia Pictures
20662,200000000,Imagine Entertainment
57158,250000000,WingNut Films
2268,180000000,New Line Cinema
254,207000000,WingNut Films
597,200000000,Paramount Pictures
271110,250000000,Studio Babelsberg
44833,209000000,Universal Pictures
135397,150000000,Universal Studios
37724,200000000,Columbia Pictures
558,200000000,Columbia Pictures
68721,200000000,Marvel Studios
12155,200000000,Walt Disney Pictures
36668,210000000,Ingenious Film Partners
62211,200000000,Walt Disney Pictures
8373,150000000,Paramount Pictures
91314,210000000,Paramount Pictures
68728,200000000,Walt Disney Pictures
102382,200000000,Columbia Pictures
20526,170000000,Walt Disney Pictures
49013,200000000,Walt Disney Pictures
44912,200000000,De Line Pictures
10193,200000000,Walt Disney Pictures
534,200000000,Columbia Pictures
168259,190000000,Universal Pictures
72190,200000000,Paramount Pictures
127585,250000000,Twentieth Century Fox Film Corporation
54138,190000000,Paramount Pictures
81005,195000000,New Line Cinema
64682,105000000,Village Roadshow Pictures
9543,150000000,Walt Disney Pictures
68726,180000000,Legendary Pictures
38356,195000000,Paramount Pictures
217,185000000,Lucasfilm
105864,175000000,Walt Disney Pictures
62177,185000000,Walt Disney Pictures
188927,185000000,Paramount Pictures
10681,180000000,Walt Disney Pictures
5174,140000000,New Line Cinema
14161,200000000,Columbia Pictures
17979,200000000,Walt Disney
76757,176000003,Village Roadshow Pictures
258489,180000000,Village Roadshow Pictures
411,180000000,Walt Disney
246655,178000000,Twentieth Century Fox Film Corporation
155,185000000,DC Comics
14160,175000000,Pixar Animation Studios
15512,175000000,DreamWorks Animation
1726,140000000,Marvel Studios
44826,170000000,Paramount Pictures
8487,170000000,Todman
1735,145000000,Universal Pictures
297761,175000000,DC Comics
2698,175000000,Columbia Pictures
137113,178000000,Village Roadshow Pictures
9804,175000000,Universal Pictures
14869,175000000,Paramount Pictures
150540,175000000,Walt Disney Pictures
278927,175000000,Walt Disney Pictures
10138,200000000,Marvel Studios
58595,170000000,Universal Pictures
102651,180000000,Walt Disney Pictures
119450,170000000,Ingenious Media
79698,27000000,Corsan
64686,175000000,Mid Atlantic Films
100402,170000000,Marvel Studios
10192,165000000,DreamWorks Animation
158852,190000000,Walt Disney Pictures
177572,165000000,Walt Disney Pictures
82690,165000000,Walt Disney Animation Studios
5255,165000000,Golden Mean
47933,165000000,Twentieth Century Fox Film Corporation
10191,165000000,DreamWorks Animation
296,200000000,Columbia Pictures
118340,170000000,Marvel Studios
157336,165000000,Paramount Pictures
27205,160000000,Legendary Pictures
315011,15000000,Cine Bazar
49051,250000000,WingNut Films
9799,38000000,Universal Pictures
4922,150000000,Paramount Pictures
