movie_id,title,release_date,runtime,adult_only
22649,A Farewell to Arms,8/12/1932,89,False
42495,King Lear,4/2/1971,137,False
10991,Pokemon: Spell of the Unknown,8/7/2000,93,False
12600,Pokemon 4Ever: Celebi - Voice of the Forest,6/7/2001,75,False
14788,Bubble,3/9/2005,73,False
18440,Days of Darkness,1/1/2007,89,False
15028,Clockstoppers,17/03/2002,94,False
25541,Brotherhood,21/10/2009,90,False
23305,The Warrior,23/09/2001,86,False
5511,Le Samoura,25/10/1967,105,False
13209,Offside,26/05/2006,93,False
11115,Deal,29/01/2008,85,False
4912,Confessions of a Dangerous Mind,30/12/2002,113,False
38061,MOVIE38061,1/1/1900,57,False
41640,MOVIE41640,1/1/1900,0,False
47934,MOVIE47934,1/1/1900,0,False
49280,MOVIE49280,1/1/1900,1,False
36663,Dreamkiller,1/1/1900,110,False
49275,MOVIE49275,1/1/1901,10,False
49279,MOVIE49279,1/1/1901,3,False
775,A Trip to the Moon,1/9/1902,14,False
5698,The Great Train Robbery,1/12/1903,12,False
44328,MOVIE44328,1/1/1904,4,False
2963,MOVIE2963,1/10/1904,20,False
44324,MOVIE44324,5/3/1904,3,False
44330,MOVIE44330,1/1/1905,3,False
44333,MOVIE44333,1/1/1905,3,False
44342,MOVIE44342,1/1/1905,4,False
49277,MOVIE49277,1/1/1906,3,False
49271,MOVIE49271,1/1/1909,6,False
20650,MOVIE20650,2/9/1909,11,False
36874,MOVIE36874,8/7/1909,14,False
46744,MOVIE46744,1/1/1912,32,False
5153,Cabiria,1/6/1914,148,False
28196,The Avenging Conscience: or 'Thou Shalt Not Kill',2/8/1914,78,False
22892,MOVIE22892,9/7/1914,14,False
618,The Birth of a Nation,8/2/1915,193,False
43678,MOVIE43678,11/3/1915,33,False
38730,MOVIE38730,12/1/1915,67,False
30982,MOVIE30982,12/4/1915,27,False
2078,MOVIE2078,2/10/1916,32,False
2079,MOVIE2079,4/9/1916,34,False
3059,Intolerance: Love's Struggle Throughout the Ages,4/9/1916,197,False
2077,MOVIE2077,4/12/1916,24,False
13707,MOVIE13707,10/7/1916,24,False
48263,MOVIE48263,1/10/1918,45,False
49837,MOVIE49837,1/1/1919,81,False
36106,True Heart Susie,1/6/1919,61,False
28629,Eerie Tales,5/11/1919,112,False
38531,MOVIE38531,7/9/1919,26,False
23282,One Week,1/9/1920,25,False
31509,Way Down East,3/9/1920,145,False
42657,The Mark of Zorro,5/12/1920,107,False
32683,MOVIE32683,10/5/1920,88,False
31432,The Four Horsemen of the Apocalypse,6/3/1921,132,False
29267,Destiny,6/10/1921,105,False
6793,The Haunted Castle,7/4/1921,81,False
25770,The Paleface,1/1/1922,20,False
22592,MOVIE22592,3/9/1922,60,False
35227,Foolish Wives,11/1/1922,117,False
669,Nanook of the North,11/6/1922,79,False
47703,MOVIE47703,1/1/1923,5,False
22596,Safety Last!,1/4/1923,70,False
28974,A Woman of Paris,1/10/1923,78,False
18987,The Hunchback of Notre Dame,6/9/1923,113,False
41348,Why Worry?,9/9/1923,60,False
49452,The Smiling Madame Beudet,9/11/1923,38,False
44473,Entr'acte,4/12/1924,22,False
