movie_id,title,release_date,runtime,adult_only
862,Toy Story,10/30/1995,81,FALSE
8844,Jumanji,12/15/1995,104,FALSE
15602,Grumpier Old Men,12/22/1995,101,FALSE
31357,Waiting to Exhale,12/22/1995,127,FALSE
11862,Father of the Bride Part II,2/10/1995,106,FALSE
949,Heat,12/15/1995,170,FALSE
11860,Sabrina,12/15/1995,127,FALSE
45325,Tom and Huck,12/22/1995,97,FALSE
9091,Sudden Death,12/22/1995,106,FALSE
710,GoldenEye,11/16/1995,130,FALSE
9087,The American President,11/17/1995,106,FALSE
12110,Dracula: Dead and Loving It,12/22/1995,88,FALSE
21032,Balto,12/22/1995,78,FALSE
10858,Nixon,12/22/1995,192,FALSE
1408,Cutthroat Island,12/22/1995,119,FALSE
524,Casino,11/22/1995,178,FALSE
4584,Sense and Sensibility,12/13/1995,136,FALSE
5,Four Rooms,12/9/1995,98,FALSE
9273,Ace Ventura: When Nature Calls,11/10/1995,90,FALSE
11517,Money Train,11/21/1995,103,FALSE
8012,Get Shorty,10/20/1995,105,FALSE
1710,Copycat,10/27/1995,124,FALSE
9691,Assassins,10/6/1995,132,FALSE
12665,Powder,10/27/1995,111,FALSE
451,Leaving Las Vegas,10/27/1995,112,FALSE
16420,Othello,12/15/1995,123,FALSE
9263,Now and Then,10/20/1995,100,FALSE
17015,Persuasion,9/27/1995,104,FALSE
902,La Cité des Enfants Perdus,5/16/1995,108,FALSE
37557,摇啊摇，摇到外婆桥,4/30/1995,108,FALSE
9909,Dangerous Minds,8/11/1995,99,FALSE
63,Twelve Monkeys,12/29/1995,129,FALSE
78802,"Guillaumet, les ailes du courage",9/18/1996,50,FALSE
9598,Babe,7/18/1995,89,FALSE
47018,Carrington,11/8/1995,121,FALSE
687,Dead Man Walking,12/29/1995,122,FALSE
139405,Across the Sea of Time,10/20/1995,51,FALSE
33689,It Takes Two,11/17/1995,101,FALSE
9603,Clueless,7/19/1995,97,FALSE
34615,"Cry, the Beloved Country",12/15/1995,106,FALSE
31174,Richard III,12/29/1995,104,FALSE
11443,Dead Presidents,10/6/1995,119,FALSE
35196,Restoration,12/29/1995,117,FALSE
9312,Mortal Kombat,8/18/1995,101,FALSE
577,To Die For,5/20/1995,106,FALSE
11861,How To Make An American Quilt,10/6/1995,116,FALSE
807,Se7en,9/22/1995,127,FALSE
10530,Pocahontas,6/14/1995,81,FALSE
8391,When Night Is Falling,5/5/1995,96,FALSE
629,The Usual Suspects,7/19/1995,106,FALSE
117164,Guardian Angel,11/22/1994,93,FALSE
11448,Mighty Aphrodite,9/13/1995,95,FALSE
49133,Lamerica,1/1/1994,116,FALSE
26441,The Big Green,9/29/1995,100,FALSE
97406,Georgia,5/19/1995,115,FALSE
124057,Kids of the Round Table,7/8/1997,89,FALSE
9089,Home for the Holidays,11/2/1995,103,FALSE
11010,Il postino,9/22/1994,108,FALSE
99040,Le confessionnal,9/29/1995,100,FALSE
11359,The Indian in the Cupboard,7/14/1995,96,FALSE
17182,Eye for an Eye,1/12/1996,101,FALSE
2054,Mr. Holland's Opus,12/29/1995,137,FALSE
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1/12/1996,89,FALSE
19760,Two If by Sea,1/12/1996,96,FALSE
9536,Bio-Dome,1/12/1996,88,FALSE
11525,Lawnmower Man 2: Beyond Cyberspace,1/12/1996,92,FALSE
40628,Two Bits,10/22/1995,85,FALSE
4482,Gazon maudit,2/8/1995,95,FALSE
10634,Friday,4/26/1995,91,FALSE
755,From Dusk Till Dawn,1/19/1996,108,FALSE
11859,Fair Game,11/3/1995,91,FALSE
28387,Kicking and Screaming,10/6/1995,96,FALSE
48750,Les misérables,3/22/1995,175,FALSE
20927,Bed of Roses,1/26/1996,87,FALSE
36929,Big Bully,1/26/1996,90,FALSE
9102,Screamers,9/8/1995,108,FALSE
124626,Nico Icon,2/18/1995,70,FALSE
27526,The Crossing Guard,11/15/1995,111,FALSE
9623,The Juror,2/2/1996,118,FALSE
46785,بادکنک سفید,1/1/1995,85,FALSE
400,Things to Do in Denver When You're Dead,12/1/1995,116,FALSE
880,Antonia,9/12/1995,102,FALSE
146599,Once Upon a Time... When We Were Colored,1/26/1996,115,FALSE
188588,Last Summer in the Hamptons,11/22/1995,108,FALSE
8447,Angels and Insects,9/10/1995,118,FALSE
10534,White Squall,2/2/1996,129,FALSE
17414,Dunston Checks In,1/12/1996,88,FALSE
13997,Black Sheep,2/1/1996,87,FALSE
2086,Nick of Time,11/22/1995,90,FALSE
61548,The Journey of August King,9/14/1995,91,FALSE
9095,Mary Reilly,2/23/1996,104,FALSE
12158,Vampire in Brooklyn,10/26/1995,100,FALSE
9283,Beautiful Girls,2/9/1996,112,FALSE
9208,Broken Arrow,2/9/1996,108,FALSE
40154,A Midwinter's Tale,12/1/1995,99,FALSE
406,La Haine,5/31/1995,98,FALSE
45549,Shopping,12/6/1994,105,FALSE
63076,Heidi Fleiss: Hollywood Madam,12/27/1995,106,FALSE
11062,City Hall,2/16/1996,111,FALSE
13685,Bottle Rocket,2/21/1996,91,FALSE
47475,Mr. Wrong,2/16/1996,96,FALSE
2045,Unforgettable,2/23/1996,106,FALSE
9614,Happy Gilmore,2/16/1996,92,FALSE
688,The Bridges of Madison County,5/28/1995,135,FALSE
11907,Keiner liebt mich,11/7/1994,104,FALSE
10874,Muppet Treasure Island,2/16/1996,100,FALSE
89333,Catwalk,12/8/1995,95,FALSE
96357,Headless Body in Topless Bar,5/20/1995,110,FALSE
197,Braveheart,5/24/1995,177,FALSE
103,Taxi Driver,2/7/1976,114,FALSE
33542,紅番區,1/30/1995,91,FALSE
43566,Before and After,2/23/1996,108,FALSE
